q0	q0_p11	how does knowledge graphs work	Vector space models represent queries and documents as vectors for similarity ranking.
q0	q0_p0	how does knowledge graphs work	Graph neural networks aggregate neighborhood information for node representation learning.
q0	q0_p8	how does knowledge graphs work	The documentary explored ancient civilizations of the Mediterranean region.
q0	q0_p9	how does knowledge graphs work	Learning to rank trains models to order documents by relevance to a given query.
q0	q0_p10	how does knowledge graphs work	Learning rate schedules decay the step size over training for better convergence.
q0	q0_p17	how does knowledge graphs work	The architect designed a sustainable building with solar panels and green roofs.
q0	q0_p5	how does knowledge graphs work	Farmers adopted precision agriculture techniques to improve crop yields.
q0	q0_p15	how does knowledge graphs work	Machine learning enables systems to learn patterns from data without explicit programming.
q0	q0_p13	how does knowledge graphs work	Data augmentation artificially expands training sets with rotations crops and flips.
q0	q0_p19	how does knowledge graphs work	LambdaMART optimizes ranking metrics like NDCG using gradient boosted trees.
q0	q0_p14	how does knowledge graphs work	F1 score is the harmonic mean of precision and recall for classification tasks.
q0	q0_p3	how does knowledge graphs work	Named entity recognition identifies people places and organizations in text.
q0	q0_p16	how does knowledge graphs work	Non-IID data distribution across clients poses challenges for federated optimization.
q0	q0_p4	how does knowledge graphs work	Adam optimizer adapts learning rates for each parameter using first and second moments.
q0	q0_p12	how does knowledge graphs work	Rainfall this month exceeded the historical average by thirty percent.
q0	q0_p7	how does knowledge graphs work	Pairwise ranking learns from preference pairs of more and less relevant documents.
q0	q0_p1	how does knowledge graphs work	Ontologies define hierarchical concept schemas for knowledge representation.
q0	q0_p2	how does knowledge graphs work	Feature engineering transforms raw data into informative representations for ML models.
q0	q0_p6	how does knowledge graphs work	Marathon runners trained for months to prepare for the city race event.
q0	q0_p18	how does knowledge graphs work	GPT models generate text autoregressively by predicting the next token in sequence.
q1	q1_p7	what is evaluation metrics	Query expansion adds related terms to improve recall in document retrieval systems.
q1	q1_p5	what is evaluation metrics	ResNet introduced skip connections to train very deep networks without degradation.
q1	q1_p0	what is evaluation metrics	NDCG measures ranking quality by rewarding relevant documents placed higher in the list.
q1	q1_p1	what is evaluation metrics	Precision at k measures the fraction of relevant items in the top k results.
q1	q1_p13	what is evaluation metrics	The chef prepared a three-course meal for the anniversary celebration.
q1	q1_p17	what is evaluation metrics	The orchestra performed a symphony composed in the eighteenth century.
q1	q1_p9	what is evaluation metrics	Sentiment analysis classifies text as positive negative or neutral in opinion mining.
q1	q1_p19	what is evaluation metrics	Graph neural networks aggregate neighborhood information for node representation learning.
q1	q1_p16	what is evaluation metrics	Non-IID data distribution across clients poses challenges for federated optimization.
q1	q1_p10	what is evaluation metrics	Stochastic gradient descent updates parameters using a single random sample per step.
q1	q1_p8	what is evaluation metrics	Entity linking maps text mentions to nodes in a knowledge graph.
q1	q1_p11	what is evaluation metrics	Astronomers observed a rare conjunction of planets visible to the naked eye.
q1	q1_p3	what is evaluation metrics	Inverted indexes map terms to documents for fast query processing at scale.
q1	q1_p2	what is evaluation metrics	Early stopping halts training when validation loss stops improving to avoid overfitting.
q1	q1_p18	what is evaluation metrics	Named entity recognition identifies people places and organizations in text.
q1	q1_p4	what is evaluation metrics	Neural networks consist of layers of interconnected nodes that process information.
q1	q1_p14	what is evaluation metrics	Gradient descent minimizes loss by iteratively updating parameters in the negative gradient direction.
q1	q1_p12	what is evaluation metrics	Text summarization produces concise descriptions of longer documents automatically.
q1	q1_p15	what is evaluation metrics	Content-based filtering matches item features to user preference profiles.
q1	q1_p6	what is evaluation metrics	Pairwise ranking learns from preference pairs of more and less relevant documents.
q2	q2_p9	how does neural networks work	L2 regularization penalizes large weights by adding squared norms to the loss.
q2	q2_p15	how does neural networks work	Positional encodings inject sequence order information into transformer representations.
q2	q2_p6	how does neural networks work	Hybrid recommenders combine collaborative and content-based approaches for better accuracy.
q2	q2_p17	how does neural networks work	Relation extraction identifies semantic relationships between entities in text.
q2	q2_p11	how does neural networks work	Knowledge graphs store entities and relationships as structured triples.
q2	q2_p13	how does neural networks work	The museum acquired a collection of impressionist paintings from a private donor.
q2	q2_p7	how does neural networks work	Anomaly detection identifies unusual patterns that deviate from expected behavior.
q2	q2_p2	how does neural networks work	ResNet introduced skip connections to train very deep networks without degradation.
q2	q2_p3	how does neural networks work	Differential privacy adds calibrated noise to model updates to protect individual records.
q2	q2_p18	how does neural networks work	Mini-batch gradient descent balances computational efficiency and gradient noise.
q2	q2_p12	how does neural networks work	Football teams compete in a league system with promotion and relegation.
q2	q2_p4	how does neural networks work	The orchestra performed a symphony composed in the eighteenth century.
q2	q2_p10	how does neural networks work	GPT models generate text autoregressively by predicting the next token in sequence.
q2	q2_p1	how does neural networks work	Recurrent neural networks process sequential data by maintaining hidden state across steps.
q2	q2_p16	how does neural networks work	Pairwise ranking learns from preference pairs of more and less relevant documents.
q2	q2_p19	how does neural networks work	Normalization scales features to a common range to stabilize model training.
q2	q2_p8	how does neural networks work	Train test split partitions data into training validation and held-out test sets.
q2	q2_p0	how does neural networks work	Deep learning uses multiple hidden layers to learn hierarchical feature representations.
q2	q2_p14	how does neural networks work	Early stopping halts training when validation loss stops improving to avoid overfitting.
q2	q2_p5	how does neural networks work	Click-through rate prediction estimates the probability a user clicks a recommended item.
q3	q3_p19	what is recommendation systems	Named entity recognition identifies people places and organizations in text.
q3	q3_p18	what is recommendation systems	ResNet introduced skip connections to train very deep networks without degradation.
q3	q3_p2	what is recommendation systems	Information retrieval finds relevant documents from large collections given a user query.
q3	q3_p13	what is recommendation systems	NDCG measures ranking quality by rewarding relevant documents placed higher in the list.
